"","year","month","max_t","min_t","days","rain","sun"
"1",1883,1,6.3,1.7,6,122.1,NA
"2",1883,2,8,2.8,2,69.8,NA
"3",1883,3,4.8,-1.6,23,29.6,NA
"4",1883,4,12.2,3.8,2,74,NA
"5",1883,5,14.7,6.2,0,31.2,NA
"6",1883,6,17.7,9.3,0,66.2,NA
"7",1883,7,18.8,10.5,0,77.6,NA
"8",1883,8,19.8,10.9,0,32.5,NA
"9",1883,9,16.8,10,0,137.4,NA
"10",1883,10,12.7,6.4,0,102.9,NA
"11",1883,11,8.6,3.5,1,83.6,NA
"12",1883,12,7.3,2.4,4,48.6,NA
"13",1884,1,8.4,3.5,3,127.7,NA
"14",1884,2,8,2.1,3,49.4,NA
"15",1884,3,9.5,2.5,4,50.4,NA
"16",1884,4,10.6,3.3,4,48,NA
"17",1884,5,15.7,6.4,0,33.1,NA
"18",1884,6,18.2,8.7,0,39.7,NA
"19",1884,7,20.8,11.8,0,80.1,NA
"20",1884,8,22.6,11.8,0,36.8,NA
"21",1884,9,18.4,10.5,0,34,NA
"22",1884,10,12.3,6.3,0,36.5,NA
"23",1884,11,9,3.4,4,30.9,NA
"24",1884,12,6.6,1.7,7,81.6,NA
"25",1885,1,4.7,0.4,15,56.9,NA
"26",1885,2,8.5,2.4,5,76.4,NA
"27",1885,3,7.8,0.8,10,41.6,NA
"28",1885,4,11.6,3.4,3,49.5,NA
"29",1885,5,12.9,4.4,0,58.1,NA
"30",1885,6,18.6,9.2,0,76.4,NA
"31",1885,7,21,11.4,0,17.8,NA
"32",1885,8,17.1,9.4,0,59.5,NA
"33",1885,9,16.4,7.8,0,85.3,NA
"34",1885,10,10.5,4.5,0,172.5,NA
"35",1885,11,8,3.3,4,62.2,NA
"36",1885,12,7,0.9,11,31.9,NA
"37",1886,1,4.5,-0.7,20,121.8,NA
"38",1886,2,3.9,-1,20,14.2,NA
"39",1886,3,6.1,0.2,18,84.8,NA
"40",1886,4,10.9,2.8,2,47.5,NA
"41",1886,5,13.9,5.7,0,181,NA
"42",1886,6,17.3,8.5,0,26.5,NA
"43",1886,7,20.8,11.5,0,94.2,NA
"44",1886,8,20.8,11.7,0,49.7,NA
"45",1886,9,17.7,9.8,0,30.8,NA
"46",1886,10,13.8,8.1,0,125.1,NA
"47",1886,11,9.7,3.8,0,37,NA
"48",1886,12,4.9,-0.5,12,127.7,NA
"49",1887,1,5.1,-0.6,16,61.2,NA
"50",1887,2,7.5,0.6,12,13.6,NA
"51",1887,3,7.1,0.1,16,42.5,NA
"52",1887,4,11,5.1,0,26.3,NA
"53",1887,5,12.3,5.3,0,46.6,NA
"54",1887,6,21,10.2,0,11.2,NA
"55",1887,7,23.7,12.6,0,25.2,NA
"56",1887,8,20.7,10.6,0,40.7,NA
"57",1887,9,15.3,8,0,57.2,NA
"58",1887,10,10.6,4.4,4,58.8,NA
"59",1887,11,7.6,2.6,7,41,NA
"60",1887,12,6.2,0.4,15,66.8,NA
"61",1888,1,6.4,1,14,22.1,NA
"62",1888,2,4,0,21,49.5,NA
"63",1888,3,5.3,-0.1,19,98.1,NA
"64",1888,4,8.9,2.7,8,52.6,NA
"65",1888,5,15.8,6.1,0,16.3,NA
"66",1888,6,16.9,8.4,0,61.8,NA
"67",1888,7,16.2,9.6,0,129.3,NA
"68",1888,8,18,10.2,0,61.1,NA
